label,name,data_category,organism,cell,data_type,lab,antibody,peaks,replicate_number,file_type
GSE18199_GM06690_1000000_Matrix,GSE18199_GM06690_1000000_Matrix,Lieberman-Aiden and van Berkum et al. | Science 2009|GSE18199,hg18,GM06690,Hi-C Heatmap,Job Dekker,unknown,unknown,,Image
GSE18199_GM06690_100000_Matrix,GSE18199_GM06690_100000_Matrix,Lieberman-Aiden and van Berkum et al. | Science 2009|GSE18199,hg18,GM06690,Hi-C Heatmap,Job Dekker,unknown,unknown,,Image
GM12878_CTCF_signal,GM12878_CTCF_signal,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,CTCF,Signal,,bigWig
GM12878_CTCF,GM12878_CTCF,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,CTCF,Peaks,,broadPeak
GM12878_H3K27ac_signal,GM12878_H3K27ac_signal,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K27ac,Signal,,bigWig
GM12878_H3K27ac,GM12878_H3K27ac,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K27ac,Peaks,,broadPeak
GM12878_H3K27me3_signal,GM12878_H3K27me3_signal,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Signal,,bigWig
GM12878_H3K27me3,GM12878_H3K27me3,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Peaks,,broadPeak
GM12878_H3K36me3_signal,GM12878_H3K36me3_signal,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K36me3,Signal,,bigWig
GM12878_H3K36me3,GM12878_H3K36me3,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K36me3,Peaks,,broadPeak
GM12878_H3K4me1_signal,GM12878_H3K4me1_signal,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K4me1,Signal,,bigWig
GM12878_H3K4me1,GM12878_H3K4me1,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K4me1,Peaks,,broadPeak
GM12878_H3K4me2_signal,GM12878_H3K4me2_signal,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K4me2,Signal,,bigWig
GM12878_H3K4me2,GM12878_H3K4me2,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K4me2,Peaks,,broadPeak
GM12878_H3K4me3_signal,GM12878_H3K4me3_signal,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Signal,,bigWig
GM12878_H3K4me3,GM12878_H3K4me3,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Peaks,,broadPeak
GM12878_H3K9ac_signal,GM12878_H3K9ac_signal,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Signal,,bigWig
GM12878_H3K9ac,GM12878_H3K9ac,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H3K9ac,Peaks,,broadPeak
GM12878_H4K20me1_signal,GM12878_H4K20me1_signal,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Signal,,bigWig
GM12878_H4K20me1,GM12878_H4K20me1,Encode,hg18,GM12878,ChIP-seq,Bernstein-Broad Institute,H4K20me1,Peaks,,broadPeak
GM12878_DNase-seq_signal,GM12878_DNase-seq_signal,Encode,hg18,GM12878,DNase-seq,Crawford-Duke University,unknown,Signal,,bigWig
GM12878_DNase-seq,GM12878_DNase-seq,Encode,hg18,GM12878,DNase-seq,Crawford-Duke University,unknown,Peaks,,narrowPeak
H1-hESC_CTCF_signal,H1-hESC_CTCF_signal,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,CTCF,Signal,,bigWig
H1-hESC_CTCF,H1-hESC_CTCF,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,CTCF,Peaks,,bigWig
H1-hESC_H3K27me3_signal,H1-hESC_H3K27me3_signal,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Signal,,bigWig
H1-hESC_H3K27me3,H1-hESC_H3K27me3,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K27me3,Peaks,,broadPeak
H1-hESC_H3K36me3_signal,H1-hESC_H3K36me3_signal,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K36me3,Signal,,bigWig
H1-hESC_H3K36me3,H1-hESC_H3K36me3,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K36me3,Peaks,,broadPeak
H1-hESC_H3K4me1_signal,H1-hESC_H3K4me1_signal,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K4me1,Signal,,bigWig
H1-hESC_H3K4me1,H1-hESC_H3K4me1,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K4me1,Peaks,,broadPeak
H1-hESC_H3K4me2_signal,H1-hESC_H3K4me2_signal,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K4me2,Signal,,bigWig
H1-hESC_H3K4me2,H1-hESC_H3K4me2,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K4me2,Peaks,,broadPeak
H1-hESC_H3K4me3_signal,H1-hESC_H3K4me3_signal,Encode,hg18,H1-hESC,ChIP-seq,Bernstein-Broad Institute,H3K4me3,Signal,,bigWig
